cycle number	Ecell/V	<I>/mA	time/s	
1.000000000000000E+000	2.0255735E-003	-4.739232063293457E-001	1.397014666354633E+004
1.000000000000000E+000	2.5481260E-003	-4.361818655509904E-001	1.397025266355136E+004
1.000000000000000E+000	3.4887407E-003	-3.773485753951138E-001	1.397045166356082E+004
1.000000000000000E+000	4.2834273E-003	-3.411338008128852E-001	1.397060366356804E+004
1.000000000000000E+000	4.9996637E-003	-3.078974976766569E-001	1.397075666357530E+004
1.000000000000000E+000	5.8318088E-003	-2.761587121848903E-001	1.397090966358257E+004
1.000000000000000E+000	6.5677501E-003	-2.462106937503302E-001	1.397106166358979E+004
1.000000000000000E+000	7.3375837E-003	-2.176992271086784E-001	1.397121366359701E+004
1.000000000000000E+000	8.1174225E-003	-1.897935539121967E-001	1.397136766360432E+004
1.000000000000000E+000	8.8717621E-003	-1.635071414193479E-001	1.397151966361154E+004
1.000000000000000E+000	9.6425638E-003	-1.382065979759506E-001	1.397167166361876E+004
1.000000000000000E+000	1.0397550E-002	-1.131623274956417E-001	1.397182566362608E+004
1.000000000000000E+000	1.1133490E-002	-8.965512870459835E-002	1.397197766363330E+004
1.000000000000000E+000	1.1922692E-002	-6.699440660243058E-002	1.397212966364052E+004
1.000000000000000E+000	1.2779234E-002	-4.346531230197695E-002	1.397229866364854E+004
1.000000000000000E+000	1.3631496E-002	-1.949619091103899E-002	1.397246566365648E+004
1.000000000000000E+000	1.4338063E-002	6.821698120174097E-004	1.397261766366370E+004
1.000000000000000E+000	1.5120807E-002	2.052576830531568E-002	1.397277166367101E+004
1.000000000000000E+000	1.5915819E-002	3.945534488794744E-002	1.397292366367823E+004
1.000000000000000E+000	1.6685003E-002	5.772406412114028E-002	1.397307566368545E+004
1.000000000000000E+000	1.7401578E-002	7.550905427003429E-002	1.397322966369276E+004
1.000000000000000E+000	1.8186584E-002	9.266268064004013E-002	1.397338166369998E+004
1.000000000000000E+000	1.9081332E-002	1.119990971917648E-001	1.397356566370872E+004
1.000000000000000E+000	1.9860849E-002	1.281721451051481E-001	1.397371766371594E+004
1.000000000000000E+000	2.0622289E-002	1.437585680163194E-001	1.397386966372316E+004
1.000000000000000E+000	2.1371789E-002	1.587453353277622E-001	1.397402166373038E+004
1.000000000000000E+000	2.2158729E-002	1.732470010575207E-001	1.397417566373770E+004
1.000000000000000E+000	2.2871107E-002	1.873531453834902E-001	1.397432766374492E+004
1.000000000000000E+000	2.3670314E-002	2.009493497285377E-001	1.397447966375214E+004
1.000000000000000E+000	2.4422392E-002	2.141843098357539E-001	1.397463366375945E+004
1.000000000000000E+000	2.5193840E-002	2.270252304522433E-001	1.397478566376667E+004
1.000000000000000E+000	2.5944952E-002	2.394359886005031E-001	1.397493766377389E+004
1.000000000000000E+000	2.6676051E-002	2.515455749784479E-001	1.397509166378120E+004
1.000000000000000E+000	2.7475258E-002	2.632578906823446E-001	1.397524366378842E+004
1.000000000000000E+000	2.8255420E-002	2.744220253734446E-001	1.397539566379564E+004
1.000000000000000E+000	2.9039459E-002	2.854165149769755E-001	1.397554966380296E+004
1.000000000000000E+000	2.9788956E-002	2.962903718810859E-001	1.397570166381018E+004
1.000000000000000E+000	3.0524896E-002	3.066267365986700E-001	1.397585366381740E+004
1.000000000000000E+000	3.1301185E-002	3.167591681376761E-001	1.397600566382462E+004
1.000000000000000E+000	3.2053266E-002	3.265587436013462E-001	1.397615966383193E+004
1.000000000000000E+000	3.2809861E-002	3.360804761749030E-001	1.397631166383915E+004
1.000000000000000E+000	3.3583891E-002	3.452991912451142E-001	1.397646366384637E+004
1.000000000000000E+000	3.4340490E-002	3.543316544114274E-001	1.397661766385369E+004
1.000000000000000E+000	3.5092890E-002	3.631111763426436E-001	1.397676966386091E+004
1.000000000000000E+000	3.5883706E-002	3.716922768498554E-001	1.397692166386812E+004
1.000000000000000E+000	3.6619324E-002	3.799095597135596E-001	1.397707566387544E+004
1.000000000000000E+000	3.7414335E-002	3.880326275079042E-001	1.397722766388266E+004
1.000000000000000E+000	3.8184170E-002	3.957656412985200E-001	1.397737966388988E+004
1.000000000000000E+000	3.8918175E-002	4.033877960421517E-001	1.397753366389719E+004
1.000000000000000E+000	3.9672837E-002	4.110584996893669E-001	1.397768566390441E+004
1.000000000000000E+000	4.0463328E-002	4.183555617623158E-001	1.397783766391163E+004
1.000000000000000E+000	4.1219279E-002	4.254290294425624E-001	1.397798966391885E+004
1.000000000000000E+000	4.2007193E-002	4.323228078019694E-001	1.397814366392617E+004
1.000000000000000E+000	4.2761531E-002	4.389968865291505E-001	1.397829566393339E+004
1.000000000000000E+000	4.3532331E-002	4.454473717229774E-001	1.397844766394061E+004
1.000000000000000E+000	4.4278927E-002	4.519060304043792E-001	1.397860166394792E+004
1.000000000000000E+000	4.5011315E-002	4.580911332937676E-001	1.397875366395514E+004
1.000000000000000E+000	4.5791477E-002	4.641127957323392E-001	1.397890566396236E+004
1.000000000000000E+000	4.6611018E-002	4.699010487288162E-001	1.397905966396967E+004
1.000000000000000E+000	4.7332436E-002	4.757508321139590E-001	1.397921166397689E+004
1.000000000000000E+000	4.8097756E-002	4.813715489166837E-001	1.397936366398411E+004
1.000000000000000E+000	4.8900183E-002	4.867389645924760E-001	1.397951766399143E+004
1.000000000000000E+000	4.9641293E-002	4.922169086455743E-001	1.397966966399865E+004
1.000000000000000E+000	5.0391436E-002	4.974300465535642E-001	1.397982166400587E+004
1.000000000000000E+000	5.1126730E-002	5.024167272486919E-001	1.397997366401309E+004
1.000000000000000E+000	5.1920451E-002	5.073804808148026E-001	1.398012766402040E+004
1.000000000000000E+000	5.2670915E-002	5.122063844017593E-001	1.398027966402762E+004
1.000000000000000E+000	5.3485617E-002	5.168740237328020E-001	1.398043166403484E+004
1.000000000000000E+000	5.4163784E-002	5.216491226569262E-001	1.398058566404216E+004
1.000000000000000E+000	5.4984935E-002	5.260566678988692E-001	1.398073766404937E+004
1.000000000000000E+000	5.5754766E-002	5.304936430301375E-001	1.398088966405659E+004
1.000000000000000E+000	5.6471024E-002	5.347749290145956E-001	1.398104366406391E+004
1.000000000000000E+000	5.7280876E-002	5.389267467573049E-001	1.398119566407113E+004
1.000000000000000E+000	5.8075245E-002	5.429705172271166E-001	1.398134766407835E+004
1.000000000000000E+000	5.8790203E-002	5.469003209115746E-001	1.398150166408566E+004
1.000000000000000E+000	5.9554871E-002	5.510073746151036E-001	1.398165366409288E+004
1.000000000000000E+000	6.0285650E-002	5.549451724933644E-001	1.398180566410010E+004
1.000000000000000E+000	6.1095510E-002	5.586550446528165E-001	1.398195766410732E+004
1.000000000000000E+000	6.1848558E-002	5.623757672131919E-001	1.398211166411464E+004
1.000000000000000E+000	6.2589332E-002	5.659231599812888E-001	1.398226366412186E+004
1.000000000000000E+000	6.3340761E-002	5.692825949024525E-001	1.398241566412908E+004
1.000000000000000E+000	6.4130284E-002	5.729586880750066E-001	1.398256966413639E+004
1.000000000000000E+000	6.4863332E-002	5.762495591852623E-001	1.398272166414361E+004
